Region,County
Northeast,Aitkin
Metro,Anoka
West Central,Becker
Northwest,Beltrami
Central,Benton
Southwest,Big Stone
South Central,Blue Earth
South Central,Brown
Northeast,Carlton
Metro,Carver
Central,Cass
Southwest,Chippewa
Central,Chisago
West Central,Clay
Northwest,Clearwater
Northeast,Cook
Southwest,Cottonwood
Central,Crow Wing
Metro,Dakota
Southeast,Dodge
West Central,Douglas
South Central,Faribault
Southeast,Fillmore
Southeast,Freeborn
Southeast,Goodhue
West Central,Grant
Metro,Hennepin
Southeast,Houston
Northwest,Hubbard
Central,Isanti
Northeast,Itasca
Southwest,Jackson
Central,Kanabec
Southwest,Kandiyohi
Northwest,Kittson
Northeast,Koochiching
Southwest,Lac qui Parle
Northeast,Lake
Northwest,Lake Of The Woods
South Central,Le Sueur
Southwest,Lincoln
Southwest,Lyon
Northwest,Mahnomen
Northwest,Marshall
South Central,Martin
South Central,McLeod
South Central,Meeker
Central,Mille Lacs
Central,Morrison
Southeast,Mower
Southwest,Murray
South Central,Nicollet
Southwest,Nobles
Northwest,Norman
Southeast,Olmsted
West Central,Otter Tail
Northwest,Pennington
Central,Pine
Southwest,Pipestone
Northwest,Polk
West Central,Pope
Metro,Ramsey
Northwest,Red Lake
Southwest,Redwood
Southwest,Renville
Southeast,Rice
Southwest,Rock
Northwest,Roseau
Northeast,St. Louis
Metro,Scott
Central,Sherburne
South Central,Sibley
Central,Stearns
Southeast,Steele
West Central,Stevens
Southwest,Swift
Central,Todd
West Central,Traverse
Southeast,Wabasha
Central,Wadena
South Central,Waseca
Metro,Washington
South Central,Watonwan
West Central,Wilkin
Southeast,Winona
Central,Wright
Southwest,Yellow Medicine
